experiment,date,arm,training,prompt,selection,n,stanza_count_ok,stanza_size_ok,syllable_exact,syllable_pm1,rhyme_scheme_ok,rhyme_rate,rhyme_quality,inflectional_share,repeated_line_rate,out_of_dictionary_rate,invented_word_rate,distinct_2,author_clf_acc,seconds_per_poem,notes
lora-vs-reranker-hu-verse,2026-08-14,B0,none,plain,first-sample,150,0.440,0.805,0.153,0.465,0.064,0.134,0.111,0.122,0.092,0.021,0.015,0.832,0.387,2.4,"raw baseline — the comparison that would have flattered the LoRA"
lora-vs-reranker-hu-verse,2026-08-14,B1,none,4 few-shot examples,first-sample,150,0.567,0.802,0.206,0.532,0.043,0.114,0.093,0.094,0.103,0.023,0.019,0.822,0.564,3.6,"prompt is 15.7x longer than B0 but only 1.5x slower end to end"
lora-vs-reranker-hu-verse,2026-08-14,B2,none,4 few-shot examples,best-of-8 deterministic,50,0.700,0.938,0.409,0.750,0.141,0.236,0.203,0.120,0.122,0.019,0.013,0.810,0.560,26.8,"THE OPPONENT — no training; wins every form metric against the LoRA"
lora-vs-reranker-hu-verse,2026-08-14,C,LoRA 3 epochs,plain,first-sample,150,0.573,0.735,0.203,0.562,0.087,0.177,0.139,0.147,0.118,0.067,0.044,0.828,0.773,2.6,"loses to B2 on all six form metrics; 3x the invented words"
lora-vs-reranker-hu-verse,2026-08-14,C2,LoRA 3 epochs,plain,best-of-8 deterministic,50,0.640,0.941,0.471,0.817,0.120,0.255,0.206,0.165,0.113,0.057,0.041,0.814,0.920,18.5,"best arm overall AND faster than B2 — no examples needed in the prompt"
lora-vs-reranker-hu-verse,2026-08-14,C_ep1,LoRA 1 epoch,plain,first-sample,150,0.593,0.739,0.180,0.482,0.043,0.119,0.092,0.138,0.181,0.035,0.023,0.744,0.680,,"the checkpoint validation loss says to pick (2.835 vs 2.968) — worse on every measured axis"
lora-vs-reranker-hu-verse,2026-08-14,GOLD-arany,human,,,50,1.000,0.982,0.800,0.974,0.892,0.577,0.400,0.286,0.007,0.079,0.000,0.980,,,"Arany János measured by the same ruler — the practical ceiling is 0.577 rhyme, not 1.0"
lora-vs-reranker-hu-verse,2026-08-14,GOLD-petofi,human,,,50,1.000,1.000,0.809,1.000,0.813,0.624,0.439,0.282,0.021,0.079,0.000,0.961,,,"contrast author; no training run was performed on Petőfi"
